uid,D11,D22,D33,max_offdiag,phi,seconds
285,0.428151,0.381294,0.340949,2.759e-17,0.558594,1.02
286,0.395206,0.349733,0.310339,3.806e-17,0.531395,1.52
287,0.349381,0.311231,0.274297,9.725e-06,0.492468,2.24
348,0.591102,0.474026,0.474037,1.181e-04,0.874856,4.18
349,0.559075,0.446978,0.446978,2.089e-04,0.845467,4.14
338,0.482767,0.482767,0.342170,1.621e-05,0.802192,5.72
339,0.447430,0.447430,0.322103,5.066e-16,0.769531,2.71
336,0.580287,0.580287,0.421022,8.095e-04,0.891594,4.48
337,0.538277,0.538277,0.388928,6.961e-05,0.852159,4.99
354,0.354394,0.277484,0.277484,2.715e-16,0.667969,2.04
355,0.320519,0.255838,0.255838,1.213e-10,0.629123,3.40
352,0.460029,0.353567,0.353619,3.180e-05,0.743481,5.08
353,0.415396,0.325288,0.325288,1.738e-16,0.712240,1.93
350,0.514644,0.411700,0.411700,2.012e-05,0.807780,4.48
351,0.477713,0.379396,0.379396,1.726e-05,0.772687,5.13
340,0.424879,0.424879,0.300029,2.945e-05,0.745859,5.11
341,0.391100,0.391100,0.277514,1.438e-05,0.710142,5.00
346,0.192845,0.192845,0.129638,4.405e-06,0.529423,3.37
347,0.154065,0.154065,0.099563,1.541e-16,0.495009,1.98
342,0.351932,0.351932,0.251771,5.923e-05,0.680565,4.35
343,0.319204,0.319204,0.223699,2.238e-05,0.644043,4.14
344,0.281227,0.281227,0.184155,4.482e-07,0.607892,3.95
345,0.237220,0.237220,0.156004,6.327e-06,0.564200,4.34
356,0.277559,0.217889,0.217883,3.020e-05,0.593397,4.47
357,0.258889,0.181500,0.181476,8.765e-06,0.559154,4.53
362,0.488066,0.488066,0.430460,6.658e-04,0.818576,4.94
363,0.442790,0.442790,0.391218,9.389e-17,0.776000,1.07
360,0.560897,0.560897,0.499269,1.718e-04,0.890381,4.32
361,0.516825,0.516825,0.456891,1.188e-04,0.846392,4.17
384,0.807374,0.807482,0.807538,1.647e-04,0.878418,0.56
385,0.766222,0.766262,0.766300,2.193e-05,0.853424,0.51
364,0.416989,0.416989,0.359343,2.267e-07,0.740451,5.16
365,0.376263,0.376263,0.340756,2.017e-05,0.710286,5.46
386,0.691340,0.691340,0.691340,6.005e-05,0.802185,0.56
387,0.636086,0.636112,0.636059,5.271e-05,0.765472,0.46
358,0.185486,0.168365,0.168275,6.139e-06,0.534333,4.65
359,0.137885,0.126219,0.126215,5.076e-06,0.500416,3.71
366,0.342683,0.342683,0.304262,2.363e-05,0.679055,5.21
367,0.309337,0.309337,0.251496,1.515e-05,0.636556,4.68
388,0.610793,0.610788,0.610814,1.428e-04,0.745361,0.46
389,0.548182,0.548147,0.548193,1.050e-04,0.697021,0.55
372,0.587457,0.514318,0.450867,3.023e-05,0.877151,4.49
373,0.540172,0.469497,0.412249,1.437e-04,0.833659,5.47
390,0.526726,0.526761,0.526538,2.656e-04,0.678375,0.45
391,0.488706,0.488679,0.488728,1.259e-04,0.649811,0.45
392,0.439809,0.439810,0.439809,1.413e-04,0.603546,0.39
393,0.409302,0.409312,0.409249,1.461e-04,0.577942,0.43
368,0.270342,0.270342,0.247760,1.212e-05,0.609682,4.95
369,0.244329,0.244329,0.205054,1.809e-05,0.567781,3.03
374,0.509766,0.445261,0.388849,1.429e-16,0.806438,1.31
375,0.517557,0.437039,0.378638,2.147e-05,0.784921,5.80
394,0.363673,0.363677,0.363664,8.531e-05,0.534821,0.32
395,0.320697,0.320648,0.320584,2.605e-04,0.491974,0.30
396,0.794724,0.794669,0.794670,6.826e-04,0.868896,0.54
397,0.777306,0.777401,0.776866,5.596e-04,0.856293,0.54
400,0.596196,0.596196,0.596154,3.567e-04,0.733704,0.45
401,0.567689,0.567621,0.567759,9.435e-04,0.710175,0.54
398,0.697412,0.697513,0.697545,4.391e-04,0.804169,0.51
399,0.654854,0.654899,0.654979,8.337e-04,0.776123,0.55
402,0.512198,0.512259,0.511051,7.973e-04,0.665131,0.53
403,0.483547,0.483713,0.483842,6.380e-04,0.643494,0.51
404,0.443877,0.443709,0.443685,3.002e-04,0.609467,0.51
405,0.397504,0.397404,0.397353,7.539e-04,0.573517,0.44
370,0.200456,0.200456,0.179695,4.538e-06,0.540835,4.44
371,0.149194,0.149194,0.152836,4.572e-06,0.500181,3.83
406,0.357616,0.357626,0.357674,1.377e-03,0.528900,0.49
407,0.317972,0.317912,0.317640,3.294e-04,0.489716,0.57
408,0.831145,0.831140,0.684303,3.898e-05,0.872559,0.72
409,0.803789,0.803789,0.641934,2.282e-04,0.851013,0.63
376,0.437020,0.384605,0.329046,8.407e-06,0.742658,5.38
377,0.404097,0.353568,0.304395,4.158e-06,0.713270,6.21
410,0.742938,0.742938,0.575269,5.485e-05,0.806854,0.67
411,0.707437,0.707451,0.515722,7.450e-05,0.777374,0.60
412,0.679443,0.679443,0.459063,8.265e-05,0.751587,0.55
413,0.620051,0.620051,0.385881,1.445e-04,0.700684,0.50
414,0.586766,0.586766,0.334402,1.789e-04,0.670898,0.50
415,0.557517,0.557514,0.309253,1.158e-04,0.644928,0.49
416,0.503764,0.503752,0.262363,4.846e-04,0.598419,0.45
417,0.464553,0.464669,0.228926,4.066e-04,0.559692,0.42
420,0.845394,0.770819,0.770819,1.591e-04,0.872620,0.54
421,0.797723,0.689764,0.689816,1.858e-04,0.836151,0.57
418,0.439129,0.439135,0.202880,1.834e-04,0.536682,0.41
419,0.411036,0.411036,0.182318,7.011e-05,0.509338,0.40
380,0.295283,0.250607,0.219444,1.485e-16,0.608507,2.12
381,0.267015,0.210943,0.197688,4.105e-07,0.575855,4.34
422,0.751968,0.648165,0.648201,7.437e-05,0.799194,0.50
423,0.740291,0.632518,0.632520,2.166e-04,0.787994,0.46
424,0.694061,0.563755,0.563756,1.081e-04,0.746002,0.48
425,0.649079,0.491155,0.491171,2.130e-04,0.699677,0.44
378,0.367180,0.315966,0.273952,1.790e-05,0.675302,4.68
379,0.330846,0.283405,0.247710,9.471e-07,0.645571,5.18
426,0.627952,0.460845,0.460879,2.049e-04,0.680359,0.59
427,0.568165,0.411343,0.411282,1.129e-04,0.631897,0.75
428,0.534720,0.380687,0.380650,8.896e-04,0.599915,0.55
429,0.509064,0.352829,0.352803,2.085e-04,0.580719,0.46
430,0.463144,0.303788,0.303788,1.392e-03,0.529968,0.47
431,0.446027,0.277991,0.278006,2.895e-04,0.510925,0.48
382,0.224854,0.195081,0.159418,1.090e-05,0.544786,4.78
383,0.167675,0.144097,0.122034,2.722e-06,0.504829,4.17
432,0.843898,0.843889,0.615570,1.128e-04,0.872495,4.08
433,0.797814,0.797815,0.525111,4.307e-05,0.835386,3.86
434,0.769264,0.769261,0.479007,3.167e-05,0.811089,3.76
435,0.718869,0.718869,0.402055,1.832e-16,0.766493,3.13
444,0.851387,0.742228,0.742225,3.042e-04,0.868028,3.81
445,0.831614,0.704078,0.704063,1.494e-04,0.850541,3.69
436,0.698114,0.698124,0.356426,1.394e-04,0.746121,3.60
437,0.651797,0.651797,0.290826,1.568e-05,0.703297,3.38
438,0.626439,0.626439,0.257751,4.440e-05,0.679371,3.39
439,0.578363,0.578363,0.202488,1.111e-09,0.635272,3.07
446,0.774430,0.621120,0.621120,1.475e-04,0.799244,3.51
447,0.753883,0.591864,0.591804,1.705e-05,0.780653,3.75
448,0.706565,0.526085,0.526072,1.514e-04,0.734755,3.57
449,0.677398,0.483360,0.483355,1.197e-04,0.707176,3.51
440,0.544472,0.544472,0.177942,1.409e-04,0.603172,3.20
441,0.505505,0.505475,0.148998,1.187e-04,0.565547,2.77
442,0.472803,0.472824,0.125995,9.250e-05,0.533836,2.76
443,0.435793,0.435796,0.105039,1.631e-04,0.499141,2.60
450,0.642201,0.434143,0.434143,3.409e-04,0.675166,3.37
